,Product Name,Product Price,Product Condition,Seller Location
0, _ ,"₹16,999",good condition laptop only touch button not working ,"Sonipat, HR"
1,"Pending
  · i3 4GB RAM OR 256 GB SSD","₹11,500",Meham,"Maham, HR"
2,Michigan under seat subwoofer,"₹4,800","Inbuilt amp just plug and play, far better then regular subwoofer. 
Selling it because i’m selling my car
Price is almost fixed please don’t text with stupid offers","Ghaziabad, UP"
3,Lithium Battery @ Never Before Price,"₹12,000",Lithium batteries available for all E scooties and E Rikshaws,"New Delhi, DL"
4,Smart watch,₹350,"Mcsmi Smart Watch D 20 Bluetooth 1 3 Led With Daily Activity Tracker Heart Rate Sensor Bp Monitor Sports Watch For All Boys Girls Wristband

 Color:  Multicoloured

 Features:  Noise Cancelling

 Type:  Headphones

 Design Type:  In-ear

 Connectivity Technology:  Bluetooth Wireless

 Microphone:  With Microphone

 Warranty Description:  Manual Entry

Within 6-8 business days However, to find out an actual date of delivery, please enter your pin code.

Mcsmi Smart Watch D 20 Bluetooth 1 3 Led With Daily Activity Tracker Heart Rate Sensor Bp Monitor Sports Watch For All Boys Girls Wristband All Day Activity Tracking Track Steps Distance Calories Burned Active Minutes You Can Check Daily Activity And Time On Oled Display Or App Fitness Band Smart Band This Watch Has Usb Port You Need To Attach The Usb Port With Your Normal Mobile Charger Or Laptop To Charge The Watch Fitness Band For Women Noteno Calling Feature You Will Receive Only Notification To See Calls Messages On Your Wrist Receive Rejection Call Calendar Sms And Sns Facebook Whatsapp Linkedin Instagram And Twitter Notifications On Display Fitness Tracker Band Let You Never Miss The Messages That Matter Fitness Watch Smart Watch Note This Fitness Band Will Only Work After Installing Fitness Band Application From Play Store To Set Time Of Watch You Have To Install Fitness Band Application You Will Receive Bar Code Pls Scan It To Download The Application Switch On Bluetooth And Location Whlie Connecting Fitness Band From App Dont Connect Band Directly With Bluetooth U Need To Connect It From A","Delhi, DL"
5,New dabble tower home theatre Bluetooth fm pendrive aux remote 6 month warranty COD Delhi only-2799+,"₹2,799","Note it's factory product.
New box pack..
Delivery charges/shipping charges extra 



 2 Feet Height
5""25 double Woofer 
Bluetooth Aux Fm usb support
4500 watt pmpo
6 Months Warranty
Remote control",Has Bluetooth
6,"Modern Smart Watches for Unisex, Pack of 1 Warranty Description: Manual Entry Weight: 0.1 (in kg",₹350,"Modern Smart Watches for Unisex, Pack of 1

 Warranty Description:  Manual Entry

Weight: 0.1 (in kgs)

Storage: 0.1 (in GB)

Within 6-8 business days However, to find out an actual date of delivery, please enter your pin code.

Modern Smart Watches for Unisex, Pack of 1","New Delhi, DL"
7,New philps,₹225,1 years warranty ,"New Delhi, DL"
8,"Stylish and Modern ID116 Bluetooth Smartwatch Wireless Smartwatch (Black Strap, Free size)",₹199,"Stylish and Modern ID116 Bluetooth Smartwatch Wireless Smartwatch  (Black Strap, Free size)

 Warranty Description:  Manual Entry

Within 3-5 business days However, to find out an actual date of delivery, please enter your pin code.

Smartwatch Id-116 Bluetooth Smartwatch Wireless Fitness Band for Boys, Girls, Men, Women Kids | Sports Gym Watch for All Smart Phones I Heart Rate. All-day activity tracking: Track steps, distance, calories burned, active minutes, you can check daily activity and time on OLED display or APP .Fitness Band Smart Band .This watch has USB Port you need to attach the USB port with your normal mobile charger or laptop to charge the watch. You will receive only notification to See Calls Messages on Your Wrist: Receive/Rejection call, calendar, SMS and SNS (Facebook, WhatsApp, LinkedIn, Instagram, and Twitter) notifications on display, fitness tracker band let you never miss the messages that matter. Fitness Watch Smart watch.","New Delhi, DL"
9,"Biggest Launch Pro 5 Smart Watch with 1.85 AMOLED Display, BT calling, New DIY Watch.",₹299, _ ,"New Delhi, DL"
